Content Title,Content Description,Content Type,Content Last Watched Date (if viewed),Content Completed At (if completed),Content Saved,Notes taken on videos (if taken),
Sleep Is Your Superpower,"Sleep is mandatory. You can’t outsource it and you can’t negotiate it—and it has a powerful impact on everything you do while you’re awake. So why not build habits to optimize your sleep and live your best life? Learn how to make sleep a priority and take steps to achieve sleep wellness. The Sleep Ambassador®, Nancy Rothstein, shares tips for optimizing sleep and performing at your best in work and life. Learn how to prioritize sleep, assess your sleep, create the right sleep environment, and adopt strategies to fall asleep and stay asleep. Nancy offers concrete, practical advice based on research and science—so you can master sleep as your superpower.",Course,2022-02-28 09:53 UTC,N/A,false,N/A,
SharePoint 2013 Essential Training,"In this course, Gini Courter shows you the basics you need to get started using Microsoft SharePoint Server 2013 for business collaboration and real-time documentation sharing. The course teaches SharePoint site owners and members how to create, edit, and save documents; create and use team sites; navigate permissions; maximize workflows; and fully integrate SharePoint and Office 2013.",Course,2018-01-12 09:51 UTC,N/A,false,N/A,
Office 365: Implement Identities for SSO (Office 365/Microsoft 365),"Office 365 is a cloud-based set of services that allow corporate users to securely communicate and collaborate more easily in today's mobile world. Single sign-on ensures that they can easily transition from one service or app to another, creating a more seamless and productive user experience.<br><br> 

Here, system admins will learn how to implement and manage federated identities for single sign-on in Office 365. Microsoft Certified Trainer Sharon Bennett shows how to plan for an Active Directory Federation Services (AD FS), install the AD FS role on Windows Server 2012 R2, and install and manage AD FS proxy servers.<br><br> 

Note: This training course maps to the Implement and Manage Federated Identities for SSO domain for Microsoft Certification exam 70-346.",Course,N/A,N/A,true,N/A,
Learning Microsoft Flow 2017,"Using the cloud-based Microsoft Flow, you can create automated workflows from your desktop, laptop, or mobile device between services like Facebook, Outlook, and Instagram—all without needing to write a single line of code. In this course, Gini von Courter dives into the basics of Microsoft Flow, and demonstrates how to use templates to automate tasks. She shows how to create a flow with a template, test your flow, create a flow in SharePoint, and use approval flows. Plus, she shows how to install and use the Microsoft Flow app to further enhance your mobile productivity.",Course,N/A,N/A,true,N/A,
SharePoint: Mobilizing Workflows with PowerApps,"Access your existing SharePoint applications wherever you go by creating a PowerApp. In this course, Gini von Courter explains how to access the lists and workflows you've built in SharePoint on a mobile device or in a browser by creating a PowerApp. Gini covers topics such as how to create an app from SharePoint, how to package the app, and deployment to mobile devices. These techniques will work only for SharePoint and SharePoint Designer workflows, and not workflows created in Microsoft Flow.",Course,N/A,N/A,true,N/A,
Jodi Glickman on Pitching Yourself (2018),"Pitching is a universal skill. The time will come when you need to pitch an idea, a project, or even yourself. But you may stumble when the moment strikes—if you don't have a quick and effective process to nail the pitch. In this free course, thought leader Jodi Glickman shares her go-to approach for selling your ideas, your story, and yourself. Learn three easy steps to a successful pitch: destination, backstory, and connecting the dots.",Course,2021-05-31 11:04 UTC,N/A,false,N/A,
SharePoint Framework for Developers:  1 Understanding the Toolchain,"SharePoint Framework (SPFx) allows developers to extend SharePoint Online and SharePoint on premises, via web parts or extensions. Before diving into SPFx, you need to master the toolchain—technologies such as Node.js, npm, Gulp, TypeScript, webpack, Yeoman, Sass, and more. Instructor Sahil Malik uses this introductory course to explore the toolchain. He shows how to write basic Node.js code; bundle images, CSS, and apps with webpack; use Yeoman generators; and integrate TypeScript and Sass. Developers who are already familiar with these tools can jump to the end of the course, where Sahil shows how to set up a complete SPFx development environment.",Course,2018-05-28 09:06 UTC,2018-05-28 08:25 UTC,true,N/A,
Executive Presence on Video Conference Calls,"Learn how to shine on video conference calls. Communication consultant Jessica Chen provides expert advice to look and sound confident, collected, and smart on your next conference call or video presentation. Discover how to prepare your material, how to contribute to the call, and how to incorporate engaging visuals. Get body language, posture, and wardrobe tips to make a powerful impression. Finally, learn the technical details to building a mini ""studio"" for conducting calls, including choosing a webcam, lighting yourself, and placing a microphone for quality sound. <br><br>Note: This course was featured in <i>Market Watch</i>, <i>Inc.</i>, <i>Fortune</i>, <i>Forbes</i>, and <i>Entrepreneur</i>.",Course,2021-04-06 06:51 UTC,N/A,false,N/A,
Web Development Foundations: Full-Stack vs Front-End,"Do you want to become a web developer? Nowadays, web development isn't one job. There is a range of technologies and career options to explore. The core responsibilities are split two ways—between front-end developers who specialize in websites and applications and back-end developers who work with servers and databases—but you can also become a full-stack developer who oversees all aspects of a project. This course provides an overview of the different jobs available in web development, the tools and frameworks to focus on, and the skills each job entails. Senior staff author Ray Villalobos also provides tips on finding training, getting hired, and maximizing your earning potential in this lucrative and exciting field.",Course,2018-01-25 07:11 UTC,2018-01-25 07:10 UTC,false,N/A,
"SharePoint  Framework for Developers: 3 Deployment, Upgrades, and Lifecycle","The SharePoint Framework (SPFx) is the development methodology for Office 365 and SharePoint on premises. In this practical course—the third installment in a series—instructor Sahil Malik shares real-world techniques for managing your SharePoint solutions. Sahil explains how to deploy SPFx solutions and manage their upgrades, as well as how to use the site collection app catalog. He also provides an introduction to the application lifecycle management APIs, including coverage of Office 365 CDN, Site Collection App Catalog, ALM APIs, and lifecycle management of SPFx solutions using both SharePoint PnP PowerShell and the Office 365 CLI.",Course,N/A,N/A,true,N/A,
Microsoft Project 2019 Essential Training,"Learn how to master Microsoft Project, the world's leading project management software. This training course covers Project 2019 and Project Online Desktop, the subscription version of the desktop app. Bonnie Biafore, PMP, begins by showing how to set up a project and components such as work tasks, summary tasks, milestones, recurring tasks, and different types of resources. Next, she shows how to link and time tasks, assign resources to tasks to build a realistic project schedule, and use views to get an accurate window into project status. She also explains how to use Project to help evaluate your schedule and resource workloads to make sure you're bringing a project in on time and within budget. Plus, learn how to create and run reports and share project information with others.",Course,2020-10-26 15:20 UTC,N/A,false,N/A,
Office 365: Implement Networking and Security (Office 365/Microsoft 365),"Learn the essentials of networking and security for an Office 365 subscription, as outlined in the corresponding domain of Microsoft Exam 70-346, Managing Office 365 Identities and Requirements. Brian Culp breaks down the techniques into four sections. First, learn how to configure DNS records for Office 365 services. Then learn how to enable connectivity and administer Azure Rights Management, the policy-based security solution for Office 365. Last but not least, Brian shows how to create and manage administrative roles using the admin center as well as PowerShell scripting.<br><br>

This course is ideal for any network administrator working with Office 365 and will serve as a valuable prep course for administrators wishing to learn the skills necessary to pass the exam.",Course,2018-01-24 15:04 UTC,N/A,true,N/A,
Web Programming Foundations,"<div><a href=""https://www.linkedin.com/newsletters/6780173704283475968?trk=lil-course-description"" target=""_blank"" class=""artdeco-button artdeco-button--1"">View Morten's LinkedIn Newsletter</a></div><p>To be an effective web programmer, you have to understand what happens when you enter a URL or click on a link. Under every webpage lies the markup—JavaScript, HTML, and CSS—and the hierarchy that controls display—the Document Object Model (DOM). Then there is the server that hosts the files, the browser that renders them, the metadata, and the mobile experience to consider. Explore what happens below the surface, and learn how to write better code. This course provides a deep dive into the world wide web, and the underlying structures you need to understand to build robust applications and websites that are efficient and easy to maintain. Learn how HTML documents provide the foundation for CSS and JavaScript, and see how to layer presentation and interactions on top. Learn how different code editors and browsers interact with web content, enabling editing, programming, and display. Discover why accessibility is so important to keeping the web open and available to all users, and what workflow works best for web programming. Instructor Morten Rand-Hendriksen keeps the lessons fun and fast-paced, so it's easy for almost anyone—web programmers, web designers, and even web publishers—to follow along.</p>",Course,2018-02-26 15:49 UTC,2018-02-26 15:36 UTC,false,N/A,
AWS Certified Solutions Architect - Associate (SAA-C02) Cert Prep: 1 Cloud Services Overview,"Get an introduction to the basics of cloud computing and the Amazon Web Services (AWS) platform. This course is the first of a nine-part series designed to help prepare you to take and pass the AWS Certified Solutions Architect - Associate (SAA-C02) exam—and it's been updated for the March 2020 version of the certification. Explore the benefits of cloud computing, the range of AWS services, the security solutions built into AWS, and the AWS regions and availability zones. Instructor Tom Carpenter provides foundational instruction for anyone beginning the journey to becoming an AWS architect, as well as those prepping for the AWS Certified Solutions Architect - Associate exam.<br><br>This Total Seminars course covers the exam certification topics. For information on additional study resources—including practice tests, lab simulations, books, and discounted exam vouchers—visit <a href=""https://www.totalsem.com/linkedin/"" target=""_blank"">totalsem.com/linkedin</a>. LinkedIn Learning members receive special pricing.<br><br>This course was created by Total Seminars. We are pleased to offer this training in our library.",Course,2022-06-06 14:58 UTC,N/A,false,N/A,
CONTENT METADATA NO LONGER EXISTS - urn:li:lyndaCourse:518695,CONTENT METADATA NO LONGER EXISTS - urn:li:lyndaCourse:518695,Course,N/A,N/A,true,N/A,
Office 365: Provision Office 365 (Office 365/Microsoft 365),"Learning about provisioning Microsoft Office 365 is a critical first step to working with Office 365. Seasoned network admins as well as those considering a move to Office 365 should know about provisioning: configuring key resources and settings, including tenants, custom domains, and pilots. In addition, these skills are tested on the MCP/MCSA exam 70-346 (Managing Office 365 Identities and Requirements), comprising 15% of the test.<br><br> 

This course helps you prepare for exam 70-346, and master some of the most common administrative tasks involved in setting up Office 365. Instructor Brian Culp demonstrates how to configure tenants and updates, define admin roles, specify custom domains for Office 365 deployments, and plan a pilot with pilot users and usage cases. This is an ideal course for anyone tasked with administering an Office 365 environment, and is a valuable exam prep course for those wishing to become Microsoft certified.",Course,2018-01-22 13:20 UTC,2018-01-22 13:16 UTC,true,N/A,
SharePoint Framework for Developers: 4 Managing External Libraries,"Enhance your ability to work with the SharePoint Framework (SPFx), the development methodology for Office 365 and SharePoint on premises. This course demonstrates how you can leverage external third-party libraries in your SPFx solutions. Discover how to add third-party libraries into your project, and explore the out-of-the-box behavior for React, Knockout, Angular, and jQuery web parts. Plus, review some advanced scenarios, including how to download libraries programmatically and conditionally, integrate Bootstrap in SPFx, and externalize scripts using externalize and config.json.",Course,2018-05-30 10:00 UTC,N/A,true,N/A,
Office 365: Configure Exchange Online and Skype for Business Online for End Users,"Email, calendar, contacts, and videoconferencing are some of the most important services in Office 365—but they don't come configured perfectly straight out of the box. To satisfy end users, you need to know how to configure the advanced options in Exchange Online and Skype for Business Online. Follow along with instructor Sharon Bennett and learn how to set up and manage secondary email addresses, shared mailboxes, groups, personal archives, automatic retention policies, and Skype presence and services. These are the power settings that network admins need to know to keep users happy—and pass the corresponding domain of Microsoft Exam 70-347: Enabling Office 365 Services.",Course,N/A,N/A,true,N/A,
Office 365: SharePoint-Anwendungsfälle (Microsoft 365),"Die SharePoint-Berater Dirk Diestelhorst und Karsten Ulferts zeigen Ihnen in diesem Video-Training, wie Sie SharePoint-Lösungen in der Praxis auf unterschiedliche Weise aufbauen. Ausgehend von der Kundenanforderungen wird die Vorgehensweise erläutert und Schritt für Schritt praktisch umgesetzt. Als Beispiele dienen eine Vertragsverwaltung und eine Kundenverwaltung, die verschiedene SharePoint-Funktionen kombinieren und damit Ihre Vorstellungskraft bzgl. SharePoint-Lösungen inspirieren sollen.<br><br>
HINWEIS: Microsoft hat Office 365 im April 2020 in Microsoft 365 umbenannt.",Course,2018-01-12 10:25 UTC,2018-01-10 15:35 UTC,true,N/A,
Office 365: Plan for Exchange Online and Skype for Business Online (Office 365/Microsoft 365),"Email, calendar, contacts, and videoconferencing are some of the most important services in Office 365. How can you roll them out to your users in the most seamless and secure way possible? Take these lessons from Microsoft Certified Trainer Sharon Bennett and learn how to plan your Exchange Online and Skype for Business Online deployments—and pass the corresponding domain of Microsoft Exam 70-347: Enabling Office 365 Services. Learn how to create effective anti-malware and anti-spam policies that reduce malicious email. Discover how to migrate mailboxes to Office 365 using one of five recommended methods. Find out how to plan for a secure Exchange Online environment, by configuring archiving, permissions, and data loss prevention. Finally, Sharon demonstrates how to manage Skype services for external and internal video and audio communications.",Course,N/A,N/A,true,N/A,
Office 365: Manage Clients and End-User Devices (Office 365/Microsoft 365),"Configuring Office 365 is only half the battle. Once your subscription is set up correctly, you need to deploy services to all the devices in your organization: PCs, tablets, and smartphones alike. This course helps you deploy and manage custom installations of Office 365 and Office 365 ProPlus, and study for Microsoft exam 70-347, Enabling Office 365 Services. Learn how to restrict self-provisioning of Office 365 ProPlus, Office for Mac, Windows Store apps, and other mobile apps; restrict and revoke activation; and manage deployments with the Office Deployment Tool. Discover how to troubleshoot Office 365 with the Telemetry Dashboard and the Microsoft Office Configuration Analyzer Tool (OffCAT) and implement modern authentication. Our staff author Sharon Bennett is a Microsoft Certified Trainer who will help you get the most out of your Office 365 subscription and prepare you for this critical aspect of < a href=""https://www.microsoft.com/en-us/learning/exam-70-347.aspx"" target=""_blank"">MCSA: Office 365 certification</a>.",Course,N/A,N/A,true,N/A,
Tableau 10: Mastering Calculations,"Tableau 10—the popular analytics and visualization tool—provides you with the ability to create powerful calculations. In this course, learn how to leverage this aspect of the platform, and start creating useful and powerful formulas in Tableau Desktop. Instructor Curt Frye begins by going into data types, conversions, and function syntax, and shares how to create a calculated field and an ad hoc calculation. He then covers how to summarize data using aggregate functions, explaining how to calculate the sum of a collection of values, as well as the average, minimum, and maximum of a set. He also discusses working with times and dates, creating conditional calculations, implementing level of detail expressions, and more.",Course,2019-02-26 21:11 UTC,N/A,false,N/A,
SharePoint Designer 2010: Building Custom Workflows,"See how to boost your productivity and efficiency using self-monitoring document workflows in SharePoint. Author Gini Courter explains how to design streamlined workflows, from analyzing inefficiencies in manual processes to leveraging automation to avoid performing tedious, repetitive tasks. The course also covers setting up forms and email notifications, collecting and working with user data, performing calculations, and making workflows reusable.",Course,2018-06-22 17:03 UTC,N/A,false,N/A,
CONTENT METADATA NO LONGER EXISTS - urn:li:lyndaCourse:693071,CONTENT METADATA NO LONGER EXISTS - urn:li:lyndaCourse:693071,Course,2020-10-30 07:17 UTC,N/A,false,N/A,
JavaScript Essential Training (2017),"JavaScript is a scripting language of the web. As the web evolves from a static to a dynamic environment, technology focus is shifting from static markup and styling—frequently handled by content management systems or automated scripts—to dynamic interfaces and advanced interaction. Once seen as optional, JavaScript is now becoming an integral part of the web, infusing every layer with its script.
<br><br>Through practical examples and mini-projects, this course helps you build your understanding of JavaScript piece by piece, from core principles like variables, data types, conditionals, and functions through advanced topics including loops, closures, and DOM scripting. Along the way, you will also be introduced to some ES6 and the basics of JavaScript libraries.",Course,2018-02-15 13:57 UTC,2018-02-15 13:45 UTC,false,N/A,
Coding Exercises: Java,"How do you get better at writing code in Java? You practice, of course. Test your Java skills with these hands-on practice challenges. In this course, instructor Kathryn Hodge presents a variety of concise (five minutes or less) beginner, intermediate, and advanced code challenges that you can use to test your skills. The lessons are independent, so you can skip around and watch them in any order. For each challenge, Kathryn provides a walkthrough solution and automated testing files. The goal of this course is not only to develop your skills in Java, but also to show you some tricks of the trade that software developers in the industry use every day.",Course,2021-08-12 06:56 UTC,N/A,false,N/A,
JavaScript Practice: Object-Oriented Programming,"Unlike class-based programming languages like Java, JavaScript is a prototype-based procedural language. This means it supports functional <em>and</em> object-oriented programming—with less rigid syntax, greater extensibility, and fewer rules. In this hands-on, interactive course, join instructor Emma Bostian to practice performing basic object-oriented programming tasks in JavaScript to boost your technical know-how, prepare for an interview, or land a new role. This course includes Code Challenges powered by CoderPad. Code Challenges are interactive coding exercises with real-time feedback, so you can get hands-on coding practice to advance your coding skills. Emma helps you boost your skills as a JavaScript programmer with five specific, query-focused coding challenges. Practice creating a course roster with functions, a book function with Object.create(), a country with classes, a food ordering class with getters and setters, and a user/admin class with private properties.",Course,2024-04-27 08:15 UTC,N/A,false,N/A,
RubberHose Animation with After Effects,"RubberHose, a rigging script for Adobe After Effects, makes it easy to animate characters that are packed with personality. In this course, instructor Angie Taylor shares what you need to know to get up and running with this powerful software. Angie kicks off the course by explaining how to create a RubberHose arm and style it with shape layer operators. She then moves on to discuss how to create legs with RubberRig and RubberPin, as well as how to construct an easy walk cycle with RubberHose and the Motion Sketch tool in After Effects. She wraps up by detailing how to fine-tune your character animation and place a character into an animated scene.",Course,2020-11-16 13:03 UTC,N/A,false,N/A,
Carter Beauford: Under the Table and Drumming,"Learn drumming from a world-class musician. Carter Beauford, world-famous drummer for the Dave Matthews Band, performs along with the rhythm tracks from six of the band's best songs, including ""Ants Marching"" and ""Satellite."" Carter covers such topics as left-hand lead and open-hand approaches, fills, double-bass drums, drum set and cymbal setup, time feel, background and influences, and more. He also discusses the early days of the Dave Matthews Band. These lessons are valuable for drummers of all levels, as well as any musician who plays or programs drums.<br><br>

This course was created by Alfred Music. We are pleased to offer this training in our library.",Course,2021-04-21 11:51 UTC,N/A,false,N/A,
High-Stakes Communication,"Imagine you’re in a room with a group of stakeholders, each of whom has the power to alter the course of your professional life. If you impress them, they’ll fund your project and champion you as a leader. If you falter, you’ll exit the room with a tarnished reputation. Are you prepared to handle a moment like this, even when it is unexpected? How do you set yourself up for success when so much is on the line? In this course, Jenna Lange shares techniques that can help you manage your message, your mindset, and your stakeholders when the stakes are high. Learn how to build concise, effective messages, manage your body language, avoid common pitfalls, and more. Along the way, Jenna shares case studies and surprising personal experiences that lend a real-world context to each concept.",Course,2022-01-11 10:50 UTC,N/A,false,N/A,
Fotorezepte für Still-Life-Fotografie: Hartes Licht,"Verlassen Sie die Welt des weichen Lichts und integrieren Sie harte Schatten gezielt in Ihre Bildgestaltung. In diesem Fotorezept zeigt Ihnen Produktfotograf Eberhard Schuy, wie Sie mit hartem Licht für eine weitere Dimension in Ihren Bildern sorgen. So wird ein einfacher Papierstapel zum interessanten Fotomotiv, und ein Glas und ein Gitter werfen außergewöhnliche Schatten.",Course,2020-11-16 14:17 UTC,N/A,false,N/A,
Delivering an Authentic Elevator Pitch,"Find out how to craft an authentic personal pitch while projecting competence and warmth—two key factors in making a great first impression. Instructor Tatiana Kolovou shares how building trust with people and making a positive first impression isn’t a matter of magic. Tatiana reveals how verbal and nonverbal behaviors can influence the way people react in an initial meeting, whether in person, over the phone, or online.",Course,2020-11-09 06:49 UTC,N/A,false,N/A,
SharePoint 2016: No-Code Workflows,"This course demonstrates how to use PowerApps and Microsoft Flow to efficiently create mobile apps and custom workflows without needing to write a single line of code. In this course, SharePoint expert Gini Courter explains how to create a custom list in SharePoint 2016, and then how to use PowerApps to build an application. She explains how to fine-tune your app, showing how to modify the layout, format text, brand your app, and add conditional formatting. Then, she switches to Flow to show how to create a custom workflow that responds to the data entered in the app. Plus, Gini shares how to view the results of your workflow by opening your app on a mobile device and entering a record.",Course,2018-01-15 15:09 UTC,2018-01-15 15:04 UTC,true,N/A,
Nano Tips to Speak Up in Meetings with Shadé Zahrai,"Welcome to our <i>Nano Tips</i> series, where LinkedIn Learning creators deliver impactful lessons in literally seconds. In this course, behavioral strategist and peak performance educator for Fortune 500s Shadé Zahrai teaches you quick tips for speaking up in meetings and making your voice heard. Learn how to avoid mistakes that harm your credibility and influence, speak up when you can’t find your turn, contribute value with strategic questions, claim back credit for overlooked suggestions, and more.",Course,2023-10-23 18:51 UTC,N/A,false,N/A,
CSS Essential Training 1 (2017),"CSS is a stylesheet language that allows you to control the appearance of your webpages. In this hands-on course—the first installment in an ongoing series—Christina Truong demonstrates the concepts that form the foundation of CSS, and explains how to use this language to add colors and other design elements to take your webpages beyond just black text on a white background. Christina covers selecting content, how the box model defines the spacing and sizing of page elements, styling text, and managing basic layouts. She also explores the tools needed to work with CSS, how to use selectors to target elements, and guidelines for page layouts with floats. Plus, at the end of the course, you'll walk away with an actual project—an online résumé page.",Course,2018-03-02 07:49 UTC,N/A,false,N/A,
Blender 2.91 Essential Training,"Blender is a powerful open-source solution for 2D and 3D modeling, animation, compositing, and post-production. In this course, get a thorough overview of the feature set in Blender 2.91 and beyond, as well as practical production techniques that combine know-how with a healthy dose of how-to. Instructor David Andrade dives into specific techniques, such as scene layout and modeling, sculpting, texturing and shading, 2D and 3D animation, character rigging, dynamic simulations, rendering, and game engine exporting. Plus, get performance-boosting tricks to get Blender to render your creations even faster. Each lesson helps you gain the control and skill you need to create professional artwork for multiple platforms: games, movies, and animation.",Course,2022-02-17 10:55 UTC,N/A,false,N/A,
Practice Exam 3 for CompTIA A+ (220-1102),"<p>This practice exam is intended to help you prepare for the <b>CompTIA A+ (220-1102)</b> certification exam. After you launch the practice exam, there are three practice modes available; timed, untimed, or custom. Each mode allows unlimited attempts, explanations for correct and incorrect answers, and detailed exam results. The number and types of questions on the practice exam and the duration of the timed practice exam is intended to be representative of the certification exam.</p><p><b>Want more practice?</b> Additional practice exams for this certification are available and each has a unique question set for continued preparation.</p>
<ul>
<li><a href=""https://www.linkedin.com/learning/practice-exam-1-for-comptia-a-plus-220-1102"" target=""_blank"">Practice Exam 1 for CompTIA A+ (220-1102)</a></li>
<li><a href=""https://www.linkedin.com/learning/practice-exam-2-for-comptia-a-plus-220-1102"" target=""_blank"">Practice Exam 2 for CompTIA A+ (220-1102)</a></li>
<li><a href=""https://www.linkedin.com/learning/practice-exam-4-for-comptia-a-plus-220-1102/"" target=""_blank"">Practice Exam 4 for CompTIA A+ (220-1102)</a></li>
</ul>
<p><b>About the certification</b>: To learn more about this certification, visit <a href=""https://www.comptia.org/certifications/a#examdetails""><b>CompTIA</b></a>.</p><i>The practice exam questions provided are representative of the certification exam, but not the actual questions you will see on the certification exam. Practice exams are for self-assessment. Passing this practice exam does not guarantee that you will pass the actual certification exam.</i></p>",Course,2024-04-05 19:31 UTC,N/A,false,N/A,
Office 365: Troubleshoot Availability and Usage (Office 365/Microsoft 365),"If you're preparing for exam 70-346, Managing Office 365 Identities and Requirements, or you just want to improve your Office 365 administration skills, then this course is for you. Instructor Brian Culp looks at three objectives in the Monitor and Troubleshoot Office 365 Availability and Usage section of the exam—analyzing reports, monitoring service health, and isolating service interruptions. By the end of this course, you'll be better prepared to tackle this section of the exam, and will have a better understanding of the troubleshooting and reporting tools available to Office 365 admins.",Course,N/A,N/A,true,N/A,
SharePoint Framework for Developers: 2 Authoring and Debugging Solutions,"SharePoint Framework (SPFx) allows developers to extend SharePoint Online and SharePoint on premises, via web parts or extensions. This course shows you how to write those web parts and extensions using SPFx. It also demonstrates how to create application and field customizers and list view command sets. Instructor Sahil Malik shows how to write client-side web parts and extensions, and how to debug your SPFx projects. Plus, learn how to leverage third-party and Office 365 content delivery networks (CDNs) for SPFx deployment.",Course,2024-04-18 07:11 UTC,2018-05-29 12:17 UTC,true,N/A,
SQL Server Machine Learning Services: Python,"Learn how to analyze SQL Server data with Python. Database expert Adam Wilbert shows how to use a powerful combination of tools, including high-performance Python libraries and the Machine Learning Services add-on, directly inside SQL Server to streamline analysis. Adam shows how to use Python scripts to perform statistical analysis, generate graphics such as scatterplots and bar charts, and process tabular data. He also explains how to turn a Python script into a stored procedure and set up standalone ML services to execute scripts without impacting SQL Server performance.",Course,2021-05-14 06:36 UTC,N/A,false,N/A,
Office 365: Manage Cloud Identities (Office 365/Microsoft 365),"Learn how to manage users, groups, and passwords in Office 365. This course fits into our extensive coverage of Office 365 administration and covers the objectives from the corresponding domain of the Office 365 exam 70-346, Managing Office 365 Identities and Requirements. Brian Culp shows how to configure password management, manage users and security groups, and use PowerShell to manage identities from the command line. This course is ideal for any network administrator working with Office 365 and will serve as a valuable prep course for administrators wishing to learn the skills necessary to prepare for the exam.",Course,N/A,N/A,true,N/A,
Elasticsearch Essential Training (2017),"<p>Elasticsearch has been widely adopted in search engine platforms for modern web and mobile applications. Combined with the power of Kibana—which can help to provide analytical solutions on top of your Elasticsearch cluster—this powerful platform adds the capability to answer complex business questions about your data and your customers, as well as serve up relevant results in your applications. Beyond just search, the Elastic Stack provides companies with complex analytics and advanced features like machine learning. Companies large and small use Elasticsearch to identify potential fraud, machines that aren't operating properly, and what users are doing in their apps.</p><p>In this course, join Ben Sullins as he dives into the inner workings of Elasticsearch combined with Kibana. Ben provides an overview of the architecture, and then goes over the different deployment methods, and how to best structure your data. From there, he demonstrates how to query data, and how to work with Kibana to present your insights.</p>",Course,2018-09-19 11:01 UTC,N/A,false,N/A,
Writing a Tech Resume,"When you apply for technology jobs, your resume is your opportunity to stand out from the crowd. Emma Bostian shows you how to showcase your technology skills, framing them to impress recruiters and potential employers. Discover how to tailor the content and length to catch a hiring manager’s eye. Learn how to leverage minor design details like spacing, font choice, and color palette to differentiate your resume from the rest, without stepping too far out. Plus, learn how to create a professional online presence on the platforms tech recruiters use most: LinkedIn and GitHub.",Course,2021-02-26 12:42 UTC,N/A,false,N/A,
Figure Drawing: Tonal Rendering,"How can you make a good figure drawing into a great figure drawing? Give it drama with tonal rendering. This course—taught on the iPad Pro—provides you with step-by-step demonstrations that can help you enhance the dimensionality and drama of your figure drawings using tonal rendering techniques. Instructor Amy Wynne starts by demonstrating how to create a five-part tonal gradient, and then shows how to apply this to simple 3D geometric shapes such as an egg, a cylinder, and a block; these shapes serve as the building blocks for constructing your figures. Amy also shows how to build the figure from the inside out—from structure to tonality—and apply silhouette and camouflage using inspiring master drawings as examples. Upon completing this course, you'll be equipped with a few simple techniques that can help you add beautiful lights and shadows to your figure sketches.",Course,2020-10-08 12:35 UTC,N/A,false,N/A,
Building Modern Projects with React (2020),"Learn about some of the most important tools in the React ecosystem that help you simplify development and manage the complexities of state, side effects, structure, and styling. Instructor Shaun Wassell shows how to create a basic React project, and then explains how to add Redux, create thunks, use selectors, work with styled-components, perform testing, and more.",Course,2021-05-23 16:20 UTC,N/A,false,N/A,
Office 365: Manage Identities Using Azure AD Connect (Office 365/Microsoft 365),"Network and system admins can prepare on-premises directories and connect to Azure to take advantage of managing Office 365 groups and users using common identities. Preparation, setup, and administration steps are demonstrated in this course using the Azure Active Directory (AAD) Connect tool. This course is designed to provide you with a better understanding of domain controllers, identity management, synchronization, and more. This course is also an exam preparation resource with topics that map to a corresponding domain in the Office 365 70-346 exam: Managing Office 365 Identities and Requirements.",Course,N/A,N/A,true,N/A,
CONTENT METADATA NO LONGER EXISTS - urn:li:lyndaCourse:651207,CONTENT METADATA NO LONGER EXISTS - urn:li:lyndaCourse:651207,Course,2018-01-24 09:50 UTC,N/A,false,N/A,
Project Management Foundations: Requirements,"<p>Project requirements are how project managers determine what the business needs and align the project’s goals. Requirements also form the basis for defining a project’s scope, assigning resources, and performing acceptance testing. In this course, Daniel Stanton, PMP, introduces an easy 10-step process to manage the requirements for any project. Find out how to determine applicable standards, identify your stakeholders, gather and analyze requirements, prioritize them, and document your findings. Daniel also explains how to solicit approval for project requirements and manage ongoing change requests. </p><p>This course is part of this <a href=""https://www.linkedin.com/learning/paths/career-essentials-in-business-analysis-by-microsoft-and-linkedin"">Professional Certificate</a> and this <a href=""https://www.linkedin.com/learning/paths/career-essentials-in-project-management-by-microsoft-and-linkedin"" target=""_blank"">Professional Certificate</a> from Microsoft.</p>",Course,2020-10-26 15:19 UTC,N/A,false,N/A,
