Title,Description,Url,Started On,Finished On
Java AWT Image Viewer,"Used technologies: Java SE, Java AWT. I developed this app during my first year at the ADV Academy. ImageViewer is a Java AWT Application designed to slide show all the photo files starting from a root folder.   Java AWT is far from the possibilities of today frameworks. Things are complicated, the community does not support this technology anymore, most of the functionality needs to be implemented at a low level. But for a rookie, AWT is a good practice. ",,May 2012,Jun 2012
Scrolling text on the Intel 8085 ECB,"Used technologies: Intel 8085 Assembly Language.  I developed this app during my first year at the ADV Academy. I have to mention that I was the only one in my class to take the bull by the horns, as my colleagues all wrote essays related to the theme Introduction to Hardware and Software.   This assembly program displays a message on the Siemens ECB board using the direct processor instructions. This board is controlled by a Intel 8085 processor.",https://en.wikipedia.org/wiki/Intel_8085,Jun 2012,Jun 2012
Alps Blue HF2 Bluetooth Board,"Used technologies: .Net 4.0, C#, WPF, Design Patterns Programming concepts: ModelView-ViewModel, data binding, thread-safe collections.  The Bluetooth driver module an the corresponding user interface were developed during my internship at Alpine Electronics. The BT-driver is designed to operate an Alps Bluetooth Board for testing Bluetooth capabilities of the head units produced by Alpine. The user interface is built using  WPF and Model View- ViewModel design pattern. The communication bus is the serial (COM) port. This driver tool can simulate a Bluetooth phone connection to another Bluetooth device. It pairs and connects to the Hands free audio gateway service and it can perform incoming and outgoing phone calls.  Managing the list of found BT devices required using of a customized thread safe collection. The .NET 4.0 added BlockingCollection for this sensitive problem. ",,Sep 2012,Nov 2012
Alpine Curve Editor,"Used technologies: .Net 4.0, C#, WPF, UML, Software Architecture and Design Patterns. I developed this app during my internship at Alpine Electronics.    I programmed  an abstraction layer that allows to represent voltage curves, some of the filter classes, also reorganized  the format classes on business layer side. I fully realized the presentation layer.  Being the theme of my thesis, covering the second year of study at the ADV Academy, this project got very complex. I had the opportunity to learn how to do things right, starting from planning a software concept that assures integration with other Alpine Projects in one internal testing framework. I learned about Independent Platform Modelling and built many Class diagrams and Use case diagrams for this software module.   This software tool enables the visualization, filtering and editing of a voltage curve. These voltage curve originally are data collections polled with measurement devices. They need to be adapted for the limitations of the power supplies.   Filtering means reducing the thousands of entries in the original file, to a few tens of points written in a manufacturer specific format. A voltage curve can also be defined by the user as a mathematical function.  Implemented functions of this tool: - displaying curves ramp-wise or step-wise, comparing to the originally loaded curve and showing/ hiding the individual points for each curve - zooming and panning for the curve chart - curve filtering, also independently for desired curve parts - manual points editing - undo/ redo of  the changes  - printing a curve - opening and saving curve files with different formats  Some of the design patterns implemented for this tool are the Singleton, the Composite, the Template Method and at last but the most important the Model-View-VievModel.    The thesis documenting this project is written in German and it was evaluated with the note 1.0 by the assigned ADV teacher.  ",,Nov 2012,May 2013
"Kikusui PAX 35-30, PBX 20-20 and PBZ 20-20 programmable power supplies","Used technologies: .NET 4.0, C# and WPF.  A programmable power supply can output a voltage curve that varies over time. A voltage curve can simulate special conditions like engine start at very low temperature. Any system integration test bench  needs one or more power supplies. A test bench reproduces a car environment and is used to test various electronic components before they are used in the production lines.   I developed this app during my internship at Alpine Electronics. Serial COM port communication is needed to control the power supplies. The Japanese Alpine branch sent us two devices from the manufacturer Kikusui, the  PAX 35-30 and PBX 20-20. I programmed the driver for PBZ 20-20 and Flavin D'Souza tested it in Japan.   I programed also the UI for all the power supplies modules used at Alpine. ",http://www.kikusui.co.jp/en/product/detail.php?IdFamily=0007,Nov 2012,
Process Observer for ATAT 2.0,"Used technologies: C# and .Net 4.0, design patterns Programming concepts:  delegates, Windows registry reading   ATAT 2.0 is able to watch processes/services started on local or remote system. If some program is started via ATAT 2.0, the process observer checks if the process is still running.  If a process crashes, the process observer can start the specific process again. If available, the process starts with the last configuration (test bench layout or project settings), if the process is not restart-able (remote system access restrictions) a notification is send to the class using this process/service so the test can be stopped or test cases can be skipped.  An option how often the specific process is checked is also implemented. ",,Apr 2013,May 2013
Conversion tool from .CSV format to Excel,"Used technologies: .Net 4.0, C#, WPF and ModelView-ViewModel design pattern. I developed this tool during my internship at Alpine Electronics R&D Europe. A sleek design and simplicity are the ideas I was guided after into writing this tool. The user can drag and drop a file in the  .csv format (Comma separated values) over the application window. The tool extracts the data values in the file and creates an Excel Workbook. This  workbook contains Excel Worksheets created with a template file.  And these worksheets use the data from the .csv file to fill some fields.  Equally important is the abstraction layer I designed, that allows Alpine SW Engineers to the conversion tool for any conversion from .csv to MS Excel.       ",,May 2013,
ELV Sup 2 RDS Signal Generator,"Used technologies: .Net 4.0, C#, WPF, UML, design patterns  I developed this app during my internship at Alpine Electronics R&D Europe.  The RDS Signal Generator is a device driver designed to operate an ELV Sup 2 RDS module for testing radio capabilities of the cars head units. The communication bus is again the serial (COM) port.  The user interface is built using  WPF and Model View-ViewModel design pattern. I implemented a better looking user interface as the original software delivered with the module. ",http://www.elv.de/hq-stereo-ukw-pruefgenerator-sup2-komplettbausatz-mit-gehaeuse-ohne-netzteil.html,Jul 2013,
Design of presentation layer with WPF for Alpine Test Automation Tool 2.0 modules,"As I stared my internship at Alpine, I had no knowledge about C# or WPF (Windows Presentation Foundation). I wrote code in C# from the second week at Alpine and learned WPF alone, as my colleagues were as inexperienced as I were. We worked a UI prototype for testing the SW Modules.   After six months, I was trusted with the user interface redesign, from the first prototype. I had to separate the business layer from the presentation layer using the WPF adapted variant of MVC, the ModelView-ViewModel design pattern. So, I wrote proper ViewModels using complex data binding from user interface to the business layer, for almost every device or tool in the Alpine Test Automation Framework. I also redesigned the use interfaces and became very good at editing XML based views.   The modules I reworked are listed here: - Measurement device (multimeter) - MOST and CAN bus devices used for communication inside the car data networks. Used .NET 4.0 Parallel Tasks that make a good use of the processors multi-threading and optimized for the working with tread safe BlockingCollection. - Webcam driver for taking snapshots a filming videos at different resolutions and frames per second rates. It works on the integrated as well as USB connected webcam models  - Audio measurement device is a driver for audio boards that interpolates and displays in a chart the input audio signal, using some scaling and threshold options - Climate chamber used for temperature/humidity tests - GPIB device is a driver for a communication device using the GPIB protocol - Radio signal generator used to radio tests of the Head Units - CD changer robot used to test the integrity of a large CD/DVD collection, where a robot changes the CDs from a Dacal DC-300 automated CD library. - Relay board, a device that is ideal for switching appliances, control switches, valves, lighting and much more. This board makes possible to remote devices over COM port, even not programmable devices.     ",,Jan 2013,May 2013
Code maintenance in Alpine Test Automation Tool 2.0,The Alpine test automation Tool 2.0 is a large framework. Many programmers write code and all have different styles. To maintain a unitary coding style the Alpine System Integration team uses StyleCop.  StyleCop is an open source static code analysis tool from Microsoft that checks C# code for conformance to StyleCop's recommended coding styles and a subset of Microsoft's .NET Framework Design Guidelines. The rules are classified into the following categories:      Documentation     Layout     Maintainability     Naming     Ordering     Readability     Spacing  I always maintained my code and committed StyleCop-ed code.I also repaired warnings for code written by my colleagues and repaired tens of thousands of warnings. This helped me write organized code and document classes with a lot of ease.  ,,Sep 2012,Aug 2014
Tablet Robot Interface Control = TRIC,"Used technologies: Java Android SDK, communication over Java Sockets. TRIC is an Android Application that can be used to control an Mitsubishi RV3SB industrial Robot. This robot has a 6 axis moving arm and it's level of precision and control allows it to be programmed to literally write on paper.   The RV3SB can be operated via it's console, or from a PC over an Ethernet connection. We developed the Android App, that allows a tablet to communicate with the PC over W-LAN and to remotely control the robot. We used Android SDK and Eclipse to write this App and started writing code in January 2014. I reworked the TRIC App to work on smartphones.   ",,Jan 2014,May 2014
Arbitrage betting bot,"One insomniac burning idea that needed to be tested was to program automated sport betting software, that can collect data from more bookers and identify potential winning using arbitrage.  Arbitrage means you bet all the outcomes of an event and you make profit using quotes differences between two bookers.   I started writing a C# business layer with WPF user interface. Getting the quotes is already done via parsing XML online documents that some bookers are live updating. Identifying the profit generating bets means solving some linear equations using the quotes.  This software project is now under development.    ",https://www.youtube.com/watch?v=UXxVaczSz6E,May 2014,Jun 2014
Stopwatch Tool,"Used technologies: .Net 5.0, C#, WPF, design patterns, UML modelling. A important part of any testing framework is the possibility to time test phases using a stopwatch tool.  .NET offers a Stopwatch class, but the usage needed to be eased. I wrote a wrapper class for the .NET Stopwatch that is integrated in the ATAT 2.0 framework. Interacting with this module is permitted through a WPF application, that I also designed using MVVM design pattern and remotely with the help of code reflection. The stopwatch can start, stop, reset and record the timing. A countdown functionality is also implemented.  With this project I got to learn writing unit tests with the NUnit framework, the C# alternative to JUnit, a skill to use in any software development activity.   ",,Sep 2013,
Reflection of ATAT 2.0 components,"Used technologies: .Net 5.0, C#, WPF, Design Patterns A lot of the ATAT 2.0 software modules have no dedicated user interface. The framework is designed to be used by people with no programming experience. These modules can be instantiated and their functionality can be invoked remotely, or over the user interface. This is realized using the .NET concept of reflection.   My role was to design a graphical mode of displaying the methods using  their attribute descriptions. An extremely complex data binding was needed in the presentation layer, only possible with the ModelView-ViewModel architectural design pattern. Also a very elaborate reflection mastering was needed to extract the desired information from the classes. ",,Jun 2013,Aug 2013
